2024Rank,PlayerID,WinnerFirstName,WinnerLastName,WinnerCountry,WinnerContinent,RankingPoints,TotalWins,TotalLosses,TotalMatches,Win%,TotalTitles,TotalGrandSlamTitles,TotalMastersTitles,Total500Titles,Total250Titles,TotalATPWorldTourFinalsTitles,GSPoints,GSWon,GSF,GSSF,GSQF,GSR16,GSR32,GSR64,GSR128,GSQ,GSQ3,GSQ2,GSQ1,Masters96Points,Masters96Won,Masters96F,Masters96SF,Masters96QF,Masters96R16,Masters96R32,Masters96R64,Masters96R128,Masters96Q,Masters96Q2,Masters96Q1,Masters56Points,Masters56Won,Masters56F,Masters56SF,Masters56QF,Masters56R16,Masters56R32,Masters56R64,Masters56Q,Masters56Q2,Masters56Q1,ATP500(48)Points,ATP500(48)Won,ATP500(48)F,ATP500(48)SF,ATP500(48)QF,ATP500(48)R16,ATP500(48)R32,ATP500(48)Q,ATP500(48)Q2,ATP500(48)Q1,ATP500(32)Points,ATP500(32)Won,ATP500(32)F,ATP500(32)SF,ATP500(32)QF,ATP500(32)R16,ATP500(32)R32,ATP500(32)Q,ATP500(32)Q2,ATP500(32)Q1,ATP250(48)Points,ATP250(48)Won,ATP250(48)F,ATP250(48)SF,ATP250(48)QF,ATP250(48)R16,ATP250(48)R32,ATP250(48)Q,ATP250(48)Q2,ATP250(48)Q1,ATP250(32)Points,ATP250(32)Won,ATP250(32)F,ATP250(32)SF,ATP250(32)QF,ATP250(32)R16,ATP250(32)R32,ATP250(32)Q,ATP250(32)Q2,ATP250(32)Q1,ATPWorldTourFinals1500Points,ATPWorldTourFinalsWon,ATPWorldTourFinalsSF,ATPWorldTourFinals1500RR,UnitedCupPoints,UnitedCup(OpponentRank1-10)Final,UnitedCup(OpponentRank11-20)Final,UnitedCup(OpponentRank21-30)Final,UnitedCup(OpponentRank31-50)Final,UnitedCup(OpponentRank51-100)Final,UnitedCup(OpponentRank101-250)Final,UnitedCup(OpponentRank251+)Final,UnitedCup(OpponentRank1-10)SemiFinal,UnitedCup(OpponentRank11-20)SemiFinal,UnitedCup(OpponentRank21-30)SemiFinal,UnitedCup(OpponentRank31-50)SemiFinal,UnitedCup(OpponentRank51-100)SemiFinal,UnitedCup(OpponentRank101-250)SemiFinal,UnitedCup(OpponentRank251+)SemiFinal,UnitedCup(OpponentRank1-10)QuarterFinal,UnitedCup(OpponentRank11-20)QuarterFinal,UnitedCup(OpponentRank21-30)QuarterFinal,UnitedCup(OpponentRank31-50)QuarterFinal,UnitedCup(OpponentRank51-100)QuarterFinal,UnitedCup(OpponentRank101-250)QuarterFinal,UnitedCup(OpponentRank251+)QuarterFinal,UnitedCup(OpponentRank1-10)RoundRobin,UnitedCup(OpponentRank11-20)RoundRobin,UnitedCup(OpponentRank21-30)RoundRobin,UnitedCup(OpponentRank31-50)RoundRobin,UnitedCup(OpponentRank51-100)RoundRobin,UnitedCup(OpponentRank101-250)RoundRobin,UnitedCup(OpponentRank251+)RoundRobin
11,159,Hubert,Hurkacz,Poland,Europe,1380,22,10,32,0.69,1,0,0,0,1,0,400,0,0,0,1,0,0,0,0,0,0,0,0,230,0,0,0,0,2,0,1,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,1,0,1,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
12,272,Novak,Djokovic,Serbia,Europe,1310,11,4,15,0.73,0,0,0,0,0,0,800,0,0,1,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,400,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
13,349,Ugo,Humbert,France,Europe,1300,19,9,28,0.68,2,0,0,1,1,0,100,0,0,0,0,0,1,0,0,0,0,0,0,150,0,0,0,0,0,3,0,0,0,0,0,200,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0,0,1,0,0,0,500,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,325,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,309,Sebastian,Baez,Argentina,South America,1165,17,10,27,0.63,2,0,0,1,1,0,100,0,0,0,0,0,1,0,0,0,0,0,0,130,0,0,0,0,0,2,1,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,1,0,0,0,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,157,Holger,Rune,Denmark,Europe,1145,19,10,29,0.66,0,0,0,0,0,0,50,0,0,0,0,0,0,1,0,0,0,0,0,280,0,0,0,1,0,1,1,0,0,0,0,200,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,119,Felix,Auger-Aliassime,Canada,North America,1130,17,11,28,0.61,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0,0,0,730,0,1,0,0,0,1,1,0,0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,201,Karen,Khachanov,Unattached,Europe,1055,17,8,25,0.68,1,0,0,0,1,0,200,0,0,0,0,1,0,0,0,0,0,0,0,230,0,0,0,0,2,0,1,0,0,0,0,200,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,186,Jiri,Lehecka,Czechia,Europe,1055,16,9,25,0.64,1,0,0,0,1,0,50,0,0,0,0,0,0,1,0,0,0,0,0,630,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,275,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,342,Tommy,Paul,United States,North America,1045,15,7,22,0.68,1,0,0,0,1,0,100,0,0,0,0,0,1,0,0,0,0,0,0,480,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,465,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,21,Alexander,Bublik,Kazakhstan,Europe,980,16,9,25,0.64,1,0,0,0,1,0,10,0,0,0,0,0,0,0,1,0,0,0,0,180,0,0,0,0,1,1,1,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,45,Ben,Shelton,United States,North America,850,16,8,24,0.67,1,0,0,0,1,0,100,0,0,0,0,0,1,0,0,0,0,0,0,200,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,61,Cameron,Norrie,Great Britain,Europe,780,13,10,23,0.57,0,0,0,0,0,0,200,0,0,0,0,1,0,0,0,0,0,0,0,150,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,100,0,0,0,1,0,0,0,0,0,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,1,1,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,126,Francisco,Cerundolo,Argentina,South America,775,11,12,23,0.48,0,0,0,0,0,0,50,0,0,0,0,0,0,1,0,0,0,0,0,300,0,0,0,1,0,2,0,0,0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,192,Jordan,Thompson,Australia,Oceania,695,17,11,28,0.61,1,0,0,0,1,0,50,0,0,0,0,0,0,1,0,0,0,0,0,70,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,525,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,10,Alejandro,Tabilo,Chile,South America,683,16,9,25,0.64,1,0,0,0,1,0,10,0,0,0,0,0,0,0,1,0,0,0,0,70,0,0,0,0,0,0,2,1,0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,553,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,228,Mariano,Navone,Argentina,South America,668,16,7,23,0.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,278,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,265,Nicolas,Jarry,Chile,South America,640,10,10,20,0.50,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,260,0,0,0,1,0,0,2,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,1,0,2,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
28,325,Tallon,Griekspoor,Netherlands,Europe,625,11,10,21,0.52,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0,0,0,200,0,0,0,0,1,2,0,0,0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,341,Tomas Martin,Etcheverry,Argentina,South America,610,11,10,21,0.52,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0,0,0,60,0,0,0,0,0,0,2,0,0,0,0,50,0,0,0,0,0,1,0,0,0,0,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,310,Sebastian,Korda,United States,North America,600,11,12,23,0.48,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0,0,0,200,0,0,0,0,0,4,0,0,0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,123,Frances,Tiafoe,United States,North America,575,10,9,19,0.53,0,0,0,0,0,0,50,0,0,0,0,0,0,1,0,0,0,0,0,110,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,170,Jack,Draper,Great Britain,Europe,545,12,9,21,0.57,0,0,0,0,0,0,50,0,0,0,0,0,0,1,0,0,0,0,0,70,0,0,0,0,0,0,2,1,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,113,Facundo,Diaz Acosta,Argentina,South America,544,15,11,26,0.58,1,0,0,0,1,0,10,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,2,0,0,0,26,0,0,0,0,0,0,1,0,1,0,100,0,0,0,1,0,0,0,0,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,110,Fabian,Marozsan,Hungary,Europe,530,13,10,23,0.57,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0,0,0,330,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,340,Tomas,Machac,Czechia,Europe,503,16,9,25,0.64,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0,0,0,260,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,0,0,0,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,98,Dusan,Lajovic,Serbia,Europe,485,11,10,21,0.52,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,50,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,0,0,1,0,0,0,0,0,0,150,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,212,Lorenzo,Musetti,Italy,Europe,480,9,13,22,0.41,0,0,0,0,0,0,50,0,0,0,0,0,0,1,0,0,0,0,0,180,0,0,0,0,1,1,1,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,219,Luciano,Darderi,Italy,Europe,478,14,8,22,0.64,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,438,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,257,Miomir,Kecmanovic,Serbia,Europe,475,10,12,22,0.45,0,0,0,0,0,0,200,0,0,0,0,1,0,0,0,0,0,0,0,50,0,0,0,0,0,0,1,2,0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,241,Matteo,Arnaldi,Italy,Europe,470,14,11,25,0.56,0,0,0,0,0,0,50,0,0,0,0,0,0,1,0,0,0,0,0,160,0,0,0,0,1,0,2,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,100,0,0,0,1,0,0,0,0,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,8,Alejandro,Davidovich Fokina,Spain,Europe,470,10,10,20,0.50,0,0,0,0,0,0,50,0,0,0,0,0,0,1,0,0,0,0,0,130,0,0,0,0,0,2,1,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,50,0,0,0,0,1,0,0,0,0,100,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1,0,1,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
